,0
219,"{'word': 'fix up', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
220,"{'word': 'boxes of delivery', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
221,"{'word': 'camp in market', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
222,"{'word': 'covering of material', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
223,zero
224,zero
225,zero
226,zero
227,zero
228,zero
229,zero
230,"{'word': 'support from support', 'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
231,"{'word': 'support within', 'neg': 0.0, 'neu': 0.27, 'pos': 0.73, 'compound': 0.4019}"
232,"{'word': 'time of', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
233,"{'word': 'lot of test', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
234,"{'word': 'lot from flipkart', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
235,"{'word': 'life of bed', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
236,"{'word': 'lots of storage', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
237,"{'word': 'height of bed', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
238,"{'word': 'none of edges', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
239,zero
240,zero
241,zero
242,zero
243,"{'word': 'edges on sides', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
244,"{'word': 'edges on', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
245,"{'word': 'mattress of quality', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
246,"{'word': 'mattress with kg', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
247,zero
248,zero
249,zero
250,zero
251,"{'word': 'value for money.dont', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
252,"{'word': 'quality in cost', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
253,"{'word': 'thanks to flipkart', 'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}"
254,zero
255,zero
256,zero
257,"{'word': 'product in range', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
258,"{'word': 'noise between joints', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
259,zero
260,"{'word': 'missing screws in product', 'neg': 0.677, 'neu': 0.323, 'pos': 0.0, 'compound': -0.4939}"
261,zero
262,"{'word': 'buy from seller', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
263,zero
264,"{'word': 'product from malaysia', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
265,zero
266,zero
267,"{'word': 'chance of', 'neg': 0.0, 'neu': 0.333, 'pos': 0.667, 'compound': 0.25}"
268,"{'word': 'spillage on floor', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
269,zero
270,"{'word': 'value for money', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
271,zero
272,zero
273,"{'word': 'cost during shift', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
274,"{'word': 'base of bed', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
275,"{'word': 'set of sheets', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
276,zero
277,"{'word': 'price of range', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
